country	time	s_hat	s_var	C_bq1_bst	C_ba45_bst	C_bq1_biv	C_ba45_biv	C_bq1_ba1	C_ba45_ba1	C_bq1_ba2	C_ba45_ba2	C_bq1_ba45	C_ba45_ba45	C_bq1_bq1	C_ba45_bq1
CA	44831	0.091	1.22e-05	0.03362855381769195	0.07674738594441838	0.0	0.0	0.00035637552003483364	0.0024746482212937002	0.002275568895506358	0.01037076463008503	0.012108630546950803	0.024260277964263745	0.0001554130503999299	0.000192440329992149
CA	44838	0.089	6.8e-06	0.03233676024074317	0.07345009624250257	0.0	0.0	0.0003222469214417837	0.0022425307670385477	0.0020665674686635997	0.00955410241013229	0.012146830068046366	0.02479477870490436	0.0002802502854381388	0.0003310550593632458
CA	44845	0.089	4.5e-06	0.028293983070260004	0.06668966949290744	0.0	0.0	0.00029137509414996665	0.0020316925577277055	0.0018761257756306176	0.008790234189483501	0.01226619255922637	0.02542675171710807	0.0004948605925113784	0.0005698083054489223
CA	44852	0.085	2.9e-06	0.026059783456706603	0.06047188794359427	0.0	0.0	0.0002634431103096564	0.0018402344849149988	0.0017026350008001955	0.008077234858875177	0.012312656975375239	0.025928963536501936	0.000782438909016027	0.0008913072624420007
CA	44859	0.078	2.5e-06	0.024274862196573526	0.05683540323894887	0.07279286333835429	0.07446044877016515	0.0002381675583559713	0.0016664239957291521	0.0015445876139335618	0.007412966686502536	0.012175328465332515	0.026129415249434438	0.0011114596126159907	0.0012618014090488422
CA	44866	0.073	1.8e-06	0.022728837519362836	0.053515203527996186	0.07339824207640057	0.07525464197899615	0.00021529737029853276	0.0015086937118947569	0.0014007243071259073	0.006795488424363551	0.011826382077821053	0.025976894985656078	0.001430365009366723	0.001625244917665575
CA	44873	0.067	1.3e-06	0.02230765037202294	0.05103625448784424	0.09744460291546721	0.10001982412019471	0.0001946139328884868	0.0013656448972574153	0.001269865983015517	0.006222711124459731	0.011348081481246856	0.025584019856812027	0.001756621138964295	0.0020009069722256587
CA	44880	0.061	1.2e-06	0.022558199370161812	0.049622028382588994	0.12194339065899604	0.12532634174778284	0.00017592061804013386	0.0012360033931468973	0.001150978600819967	0.005692605728519196	0.010831206109106175	0.025081355596056416	0.00214901797547352	0.0024540718968159617
CA	44887	0.057	1.4e-06	0.02127357297356172	0.04696572167080849	0.12578357424116	0.1296069605732172	0.0001590383041193843	0.0011185990665498265	0.0010430068014385526	0.0052028468055745816	0.010297687641027533	0.024499694158629532	0.0026562587019201825	0.0030392309994120947
CA	44894	0.054	1.5e-06	0.02430718070851921	0.04953122957367051	0.139567837916836	0.1440886156265711	0.00014379045328277623	0.0010122994611753587	0.0009449449275518546	0.004751017167357688	0.009752346148623808	0.02384595125447604	0.003286071203595588	0.003766443212074589
CA	44901	0.05	1.9e-06	0.02429193979534572	0.04856202119818973	0.14881278732885006	0.15400491390298796	0.00013000246691553406	0.0009160033600178171	0.0008559370621473755	0.004334883156715384	0.009209425438773957	0.023141874229468923	0.004040150130358307	0.004639394154617256
CA	44908	0.044	2.6e-06	0.02357605065617255	0.046761977965317454	0.1576932211871761	0.16361415760552658	0.00011753041466267874	0.0008287669319470465	0.0007751338530108987	0.0039520901485276564	0.008675211642340799	0.022398288086874368	0.004905552723465379	0.005645602901220046
CA	44915	0.038	3.6e-06	0.022231731261734326	0.04442449028383197	0.15828574642416196	0.1648265849558452	0.00010625605861558674	0.0007497836439002449	0.0007018273766911336	0.0036005095022206596	0.008146233852082003	0.02161233325320137	0.005723890350431477	0.006612796450039336
CA	44922	0.033	5.8e-06	0.02191265206908234	0.043197831063553786	0.1682430485017104	0.17566491620243382	9.606410842884825e-05	0.0006782829093963495	0.0006353535221944723	0.0032780380567378896	0.007623131212473507	0.020787290382107308	0.006447722491586603	0.007488875066152285
CA	44929	0.032	1.17e-05	0.021131489559645094	0.041598149688464474	0.17322417655850048	0.18150517161614546	8.683840194770598e-05	0.0006135101637033363	0.0005750589375915438	0.0029825401388156726	0.007099847535885711	0.01991673492448303	0.006918747894158396	0.008099278581335924
CA	44936	0.024	1.6e-05	0.020613381271102068	0.040381727932542744	0.17698707025154856	0.18617951408550854	7.849563089983414e-05	0.0005548755283562761	0.0005204166886420902	0.0027121400640856114	0.0065934361928026985	0.01902910083128048	0.007238508173020262	0.008554048074132611
CA	44943	0.01	1.57e-05	0.01940502281038414	0.03831380617959897	0.18146888470231703	0.1916716073729416	7.095152050359085e-05	0.0005018041936396615	0.0004709100754942417	0.002464964843432561	0.006106929678273244	0.018132482291102255	0.0074351872487570005	0.008882857587712149
CA	44950	0.006	2.27e-05	0.018491676089149745	0.036692238602180294	0.18346460262987568	0.1947142368078548	6.41283643632823e-05	0.00045376743454695505	0.0004260540410514293	0.0022392064692841034	0.005642970652673137	0.017234720217689202	0.007499214433272185	0.009074062969772045
CA	44957	0.0	3.12e-05	0.01778131498678017	0.03536868366170965	0.18408362813449541	0.19644071648190772	5.796135866616466e-05	0.00041030966173135334	0.0003854450725992582	0.0020332513607281633	0.005206100277352674	0.016346699431797448	0.007506491215566309	0.009209841903305005
CA	44964	0.023	8.53e-05	0.016690148827524415	0.03357939778473057	0.18443137217953828	0.19798311245610567	5.238498476749599e-05	0.00037098710852752483	0.0003487034112503172	0.001845553800884477	0.00479621671758201	0.015472551003627847	0.007478816649550689	0.009313433768181716
