country	time	s_hat	s_var	C_ba2_bst	C_ba1_bst	C_ba2_ba1	C_ba1_ba1	C_ba2_ba2	C_ba1_ba2
BELGIUM	44578	0.095	3.75e-05	0.46631664000103545	0.4499016242284444	0.02244208401990578	0.028471096289737045	0.0004627037923003983	0.00030564671339734307
BELGIUM	44585	0.083	1.51e-05	0.49198560408373476	0.47364163472869075	0.03324659106445224	0.04243351639682585	0.0012451445616857187	0.0008206579944160584
BELGIUM	44592	0.07	7e-06	0.503424749430156	0.4833325834786551	0.04325548650457456	0.055669487231916205	0.0026512535310338013	0.001737011865634803
BELGIUM	44599	0.064	4.4e-06	0.5086976909367984	0.48689110272490405	0.05031197395482667	0.06547971077958431	0.004626086759297748	0.0030055098743815307
BELGIUM	44606	0.062	3e-06	0.5152660753132398	0.4916331699763333	0.05514083630052741	0.07270262548652426	0.007433607884595225	0.004791201181797375
BELGIUM	44613	0.064	2.6e-06	0.5200723871035651	0.49456787203297353	0.056664509512387426	0.07594308924904619	0.009940848495034125	0.006322011739879302
BELGIUM	44620	0.074	2.8e-06	0.5249850343630943	0.4975318207552677	0.05678611394713383	0.07749524865811479	0.012758369175492685	0.008012298953608124
BELGIUM	44627	0.084	3.9e-06	0.5210228528890956	0.49174800629023474	0.05622291035677203	0.07821282833920369	0.01617244023185442	0.01005058702654903
BELGIUM	44634	0.09	6.1e-06	0.5157585719001964	0.48465108825641384	0.055293692601045594	0.07846892099378779	0.020832620822199242	0.012857631984921812
BELGIUM	44641	0.087	8.5e-06	0.5094687939198984	0.47652692031600447	0.053866900261885946	0.07807955120855263	0.02586144477480333	0.015824193702040336
BELGIUM	44648	0.079	1.31e-05	0.5022419073412339	0.46747772962762724	0.05202614117080488	0.07712546620390996	0.03069442178356649	0.0185688754724612
BELGIUM	44655	0.069	2.01e-05	0.49388583273185166	0.45733229046156815	0.049881346174403214	0.07572218289859318	0.03468847104861779	0.020667340618257268
BELGIUM	44662	0.064	4.15e-05	0.4841236482184208	0.4458393971833689	0.04755983708649463	0.07400915240554364	0.0377902767162036	0.022106682797839585
CA	44600	0.069	6e-06	0.2817243950566851	0.26868545388933096	0.05082854896657535	0.0662882518178233	0.004846347612072124	0.003141589236885023
CA	44607	0.071	3.7e-06	0.28395212921933355	0.26989707216423764	0.05532262124544578	0.07311701859781237	0.007656387607791584	0.004921124649958219
CA	44614	0.085	2.6e-06	0.28438380760710147	0.2693140632686608	0.056631411016631036	0.07610077210990572	0.010171172003816727	0.006450110256148668
CA	44621	0.101	2.1e-06	0.28475609602073154	0.2686441679198238	0.056636801919461965	0.07751267926070042	0.01299800622018129	0.008139036667043683
CA	44628	0.112	2.1e-06	0.28505050369480683	0.2678742182982792	0.05605120220514201	0.07820236670535403	0.01657885688942741	0.01028107115560279
CA	44635	0.113	2.2e-06	0.28257887272686905	0.2643822314364895	0.05506220702540206	0.07838160095674422	0.02128120769643025	0.013104233384606152
CA	44642	0.106	2.2e-06	0.2802669663192407	0.261043463097279	0.05358354708419126	0.07792187954390062	0.02627847007821008	0.016036261081611682
CA	44649	0.093	2.6e-06	0.2765109486406272	0.2562964304569268	0.05171115736910871	0.07691938092015667	0.03106995064565292	0.018740625962772556
CA	44656	0.087	3.7e-06	0.273120664709618	0.25192352200140417	0.04954424410687727	0.07547671220676061	0.034946182443275096	0.020749957860898595
CA	44663	0.085	5.2e-06	0.2696974763459288	0.24754356015837098	0.04721501232025043	0.07373982385631253	0.038024244029131	0.022166938809299246
CANADA	44604	0.119	1.21e-05	0.39173476384140204	0.3771684864803749	0.05429912659008794	0.07128854960366827	0.006755503496706287	0.004371256055887153
CANADA	44611	0.105	5.8e-06	0.39726479335440124	0.38138104054097693	0.056452776545914386	0.07528667412043685	0.009277968185181009	0.005926345836247495
CANADA	44618	0.084	2.7e-06	0.4002425441189817	0.3830223925205616	0.05687400589511066	0.07720050137526017	0.012015841620095257	0.007577791417040905
CANADA	44625	0.077	1.9e-06	0.40716202658450784	0.3884505088088675	0.05641228907037795	0.07804282291771214	0.015099878181234747	0.009409644207397013
