country	FLAI_time	t1	t2	s_hat	s_var	vaccinated	vac_cor	recovered	boosted	delta_recov	omi_recov	omi_count_t1	omi_count_t2	delta_count_t1	delta_count_t2	av_cases	x_delta	x_omi
NY	44550	12/06/2021	01/05/2022	0.122	3.6e-06	0.71	0.505	0.026	0.198	0.026	0.004	1589	3774	7740	468	695.84	0.4400863424850583	0.5590384413716899
NY	44557	12/13/2021	01/12/2022	0.115	6.1e-06	0.716	0.49	0.027	0.223	0.027	0.008	2810	3276	6027	221	1000.56	0.23199429953100112	0.7679697493173738
NY	44564	12/20/2021	01/19/2022	0.107	1.16e-05	0.721	0.477	0.029	0.243	0.029	0.014	3793	2952	3414	107	1160.08	0.1204810569011554	0.8795189371307207
NY	44571	12/27/2021	01/26/2022	0.109	3.06e-05	0.726	0.464	0.03	0.261	0.03	0.022	4236	2965	1457	40	1147.38	0.06822452184734511	0.9317754781526418
SLOVENIA	44549	12/05/2021	01/04/2022	0.186	4.14e-05	0.566	0.375	0.091	0.193	0.091	0.002	28	2692	2607	966	619.29	0.6289924075757036	0.37000076859038555
SLOVENIA	44556	12/12/2021	01/11/2022	0.132	8.2e-06	0.57	0.353	0.093	0.211	0.093	0.004	231	2914	2243	548	867.84	0.4399390407150185	0.5596109976984743
SLOVENIA	44563	12/19/2021	01/18/2022	0.105	6.6e-06	0.573	0.346	0.096	0.231	0.096	0.01	964	3030	1881	251	1451.71	0.2825910543559722	0.7173969516270569
SLOVENIA	44570	12/26/2021	01/25/2022	0.119	1.67e-05	0.576	0.329	0.098	0.248	0.098	0.021	1722	3028	1500	75	2511.65	0.17194825263572563	0.8280517468548859
USA	44541	11/27/2021	12/27/2021	0.182	8e-07	0.616	0.437	0.048	0.177	0.048	0.001	1448	103692	112488	33900	416.1	0.7133388541326741	0.286360322671039
USA	44548	12/04/2021	01/03/2022	0.15	2e-07	0.621	0.423	0.05	0.195	0.05	0.003	9710	110916	109983	14103	629.93	0.4812973799512777	0.518546503346
USA	44555	12/11/2021	01/10/2022	0.133	3e-07	0.625	0.412	0.051	0.212	0.051	0.007	33743	107259	98454	5740	1056.53	0.27195297048486183	0.7280006087704204
USA	44562	12/18/2021	01/17/2022	0.128	5e-07	0.628	0.403	0.053	0.227	0.053	0.015	67195	103246	71074	2338	1533.18	0.12656258938000833	0.873416472737851
USA	44569	12/25/2021	01/24/2022	0.125	1.1e-06	0.632	0.391	0.054	0.24	0.054	0.026	97522	100418	41554	1016	1893.91	0.05701752896205605	0.9429716991435713
CANADA	44541	11/27/2021	12/27/2021	0.188	9.8e-06	0.767	0.69	0.012	0.086	0.012	0.0	122	7552	11615	2543	214.04	0.8224236610426293	0.17732835258050914
CANADA	44548	12/04/2021	01/03/2022	0.18	3.5e-06	0.769	0.655	0.012	0.121	0.012	0.002	530	9272	12174	976	418.64	0.5747183243775095	0.42527850019978997
CANADA	44555	12/11/2021	01/10/2022	0.158	3.3e-06	0.771	0.608	0.014	0.161	0.014	0.004	1852	9520	10471	475	632.09	0.28740623692089007	0.712593763068759
CANADA	44562	12/18/2021	01/17/2022	0.133	4.5e-06	0.774	0.571	0.014	0.21	0.014	0.008	4190	9385	6679	277	794.93	0.10869080769655072	0.8913091923034845
CANADA	44569	12/25/2021	01/24/2022	0.117	8.6e-06	0.776	0.516	0.015	0.261	0.015	0.013	6793	9233	3279	134	823.5	0.05118537944512852	0.948814620554887
DENMARK	44541	11/27/2021	12/27/2021	0.184	3.1e-06	0.766	0.555	0.044	0.249	0.044	0.002	411	10974	35981	3835	1227.89	0.8761804697904513	0.1238195302094579
DENMARK	44548	12/04/2021	01/03/2022	0.182	1.6e-06	0.771	0.427	0.05	0.326	0.05	0.007	1455	16640	33140	1601	1889.21	0.6606123076498434	0.3393876923502108
DENMARK	44555	12/11/2021	01/10/2022	0.185	2e-06	0.777	0.353	0.056	0.405	0.056	0.016	3135	23825	25531	758	2446.64	0.29712058164712823	0.7028794183531922
DENMARK	44562	12/18/2021	01/17/2022	0.182	4.4e-06	0.785	0.303	0.061	0.475	0.061	0.03	5579	27666	13571	287	3043.24	0.10340624151770146	0.8965937584822726
SPAIN	44542	11/28/2021	12/28/2021	0.126	2.12e-05	0.807	0.61	0.031	0.186	0.031	0.001	54	805	4188	1438	577.77	0.8817068301800802	0.11806167739634986
SPAIN	44549	12/05/2021	01/04/2022	0.103	8.4e-06	0.809	0.565	0.035	0.23	0.035	0.002	225	950	4089	794	1050.51	0.7971614077258515	0.20252705371190013
SPAIN	44556	12/12/2021	01/11/2022	0.104	6.3e-06	0.811	0.532	0.04	0.275	0.04	0.005	443	1294	3617	466	1545.33	0.6623745792729745	0.33722875921852813
SPAIN	44563	12/19/2021	01/18/2022	0.108	6.7e-06	0.813	0.5	0.046	0.312	0.046	0.012	623	1689	2706	288	2117.13	0.48497876981347354	0.5142346854229618
SPAIN	44570	12/26/2021	01/25/2022	0.106	8.6e-06	0.815	0.471	0.052	0.348	0.052	0.022	780	2067	1687	187	2540.64	0.28810455010798436	0.7102487380705733
SPAIN	44577	01/02/2022	02/01/2022	0.106	1.29e-05	0.817	0.43	0.057	0.385	0.057	0.035	886	2340	940	105	2614.53	0.1586936238091086	0.8397664348802684
SPAIN	44584	01/09/2022	02/08/2022	0.093	2.05e-05	0.818	0.39	0.06	0.422	0.06	0.049	1184	2363	540	66	2303.67	0.08977490714486502	0.9090491611550573
SPAIN	44591	01/16/2022	02/15/2022	0.081	3.41e-05	0.819	0.356	0.062	0.454	0.062	0.062	1581	2240	330	41	1839.67	0.04735728901409454	0.9524237339153688
SPAIN	44598	01/23/2022	02/22/2022	0.08	6.17e-05	0.822	0.335	0.062	0.479	0.062	0.072	1963	2068	211	21	1342.41	0.028946285680670616	0.9710533027869711
FINLAND	44537	11/23/2021	12/23/2021	0.154	9.16e-05	0.732	0.651	0.019	0.087	0.019	0.0	15	912	1223	762	290.69	0.8211361343430903	0.17886386565691206
