	WT	DELTA	OMI	ALPHA	BA.1	BA.2	BA.4/5	BQ.1	BA.4.6	BF.7	XBB	CH.1	BN.1	BM.1.1
44196	0.8147445898424899	0.002126140198606835	0.0021285635824878444	0.12949048902280974	0.0019446445382306876	0.0001839190442571569	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44197	0.8082570870366829	0.0022667076354053765	0.0021865560391909184	0.1345137552628066	0.002004582187120933	0.00018197385206998533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44198	0.802063987598623	0.002373943210341248	0.0022319147930145384	0.13932912240125903	0.002053577675536968	0.00017833711747757087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44199	0.7961757174543339	0.0024478615134086367	0.002263498336762171	0.14392713087372874	0.002090144397329157	0.00017335393943301462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44200	0.790598125315775	0.002491617194301197	0.0022796009612429976	0.14830422115810926	0.0021123154806750684	0.00016728548056792943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44201	0.7853276525821423	0.0025107322064040595	0.002278979919699986	0.1524654741183436	0.0021186279056365363	0.00016035201406344965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44202	0.7803397202942539	0.002511730137817213	0.0022612932716831093	0.15643291560013334	0.0021085518311987116	0.00015274144048439754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44203	0.7755785108725	0.002500581697883051	0.0022267166056773357	0.1602533032861563	0.002082129637417413	0.0001445869682599228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44204	0.7709574638770318	0.0024815055901537685	0.0021751514216347694	0.16399743584933826	0.002039206488607012	0.00013594493302775742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44205	0.766373077476667	0.002456495862921319	0.002105725511904046	0.16774825101692611	0.0019789242239032783	0.00012680128800076783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44206	0.7617251537306482	0.0024255672348037377	0.0020170510616789486	0.17158336942245309	0.001899942743080221	0.00011710831859872713	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
