country	time	s_hat	s_var	C_delta_vac	C_alpha_vac	C_delta_alpha	C_alpha_alpha	C_delta_delta	C_alpha_delta	new_cases_1	new_cases_2	R_inst	Fabs
ITALY	44319	0.06	3.01e-05	0.08011755318695457	0.09220453348144052	0.010886234745010494	0.01697901375627323	0.0002558792646016384	0.00013462871468017555	0.00020317706723685182	0.00013236551566938156	0.8438996745404654	-0.030607906952849928
ITALY	44326	0.046	1.74e-05	0.09469896457745636	0.10901971367726038	0.010964299982433	0.017406038740224707	0.0002843715039190749	0.00015070741551091407	0.00017177297356054527	9.274744293045835e-05	0.7754930631395104	-0.044020968011860714
ITALY	44333	0.058	1.31e-05	0.11042540540483888	0.1272362752407452	0.010844904717087498	0.01756814965607162	0.00030637145336278443	0.00016202880914415626	0.00013236551566938156	6.536751272173482e-05	0.742981213726894	-0.050395840445707066
ITALY	44340	0.07	1.11e-05	0.12968187988674987	0.14947836097840725	0.010575945860935295	0.017520754025227476	0.00032359946739565407	0.0001699162694142149	9.274744293045835e-05	4.617671375650921e-05	0.7459455065411902	-0.049814606560550936
ITALY	44347	0.079	9.9e-06	0.15002834157001746	0.17311870762810144	0.010212335796232895	0.01733017217559348	0.0003437561819816653	0.0001797066144748343	6.536751272173482e-05	3.3080729852009004e-05	0.7518943058548074	-0.048648175322586786
ITALY	44354	0.088	8.5e-06	0.16162572121225866	0.1874071263095155	0.009773636243096693	0.01701744690711359	0.0003727194160417331	0.00019533475088352595	4.617671375650921e-05	2.338298101922257e-05	0.7521155240435763	-0.048604799207141905
ITALY	44361	0.088	6.5e-06	0.17196715290565517	0.20046373178422522	0.00930089440352825	0.016632796288553155	0.00040550123056626514	0.00021322347720876782	3.3080729852009004e-05	1.4999800140708317e-05	0.7118813081377922	-0.05649386114945252
ITALY	44368	0.095	5.6e-06	0.19255216773063813	0.2248421037525991	0.008802990650262316	0.01618523026924629	0.00043404409492505167	0.0002278637051038457	2.338298101922257e-05	1.2231043153308752e-05	0.7639314877177785	-0.0462879435847493
ITALY	44375	0.105	6.1e-06	0.215799308134224	0.2523503986689153	0.008294756406245735	0.015692205516121858	0.00045889546774962225	0.00023973595647160668	1.4999800140708317e-05	1.621852650695647e-05	1.0284570249137497	0.005579808806617578
ITALY	44382	0.103	8e-06	0.24290801586820068	0.28431705578702376	0.00779380147423507	0.01517567892259675	0.0004983771644401869	0.0002613787688007408	1.2231043153308752e-05	3.0445677796053388e-05	1.3322164768113929	0.06514048564929274
ITALY	44389	0.097	1.12e-05	0.2786445618582463	0.3259885846983581	0.007305487159775179	0.014642276622334294	0.0005826266156368732	0.00031301979406903133	1.621852650695647e-05	5.722926034595205e-05	1.4593319049938418	0.0900650794105572
ITALY	44396	0.084	1.99e-05	0.3161784306252579	0.36999060816041107	0.0068355662471195	0.014099701060237413	0.0007837859552781594	0.00044290874642020407	3.0445677796053388e-05	8.164875039122598e-05	1.3593614730588812	0.07046303393311397
BELGIUM	44318	0.043	4.75e-05	0.05496245993593804	0.06422309901837246	0.011563995326783495	0.017606207430855593	7.183372966599789e-05	4.69304592615357e-05	0.0002797989024141065	0.0002232754222595636	0.917793445089495	-0.016118932335393146
BELGIUM	44325	0.038	2.97e-05	0.07220716998369354	0.08371666456899886	0.012102746041568307	0.018667942494130074	0.00010541051279681414	6.840063574451126e-05	0.0002590746497773252	0.000198166838842733	0.9023688978994705	-0.019143353353045008
BELGIUM	44332	0.042	2.39e-05	0.09146256201264213	0.10555027732640092	0.0123306881722843	0.01933209886710827	0.0001370073943014207	8.784125335399097e-05	0.0002232754222595636	0.00017977598353987066	0.9210612722174982	-0.015478181918137615
BELGIUM	44339	0.052	1.74e-05	0.11234735119758162	0.12936908256729301	0.012591114289679914	0.020039522263583298	0.00018076067213903163	0.00011499261477928438	0.000198166838842733	0.00013460632357063597	0.8591107150966588	-0.027625349981047296
BELGIUM	44346	0.072	1.53e-05	0.13952939148755528	0.1602818996031647	0.012592373473760042	0.02040435173765728	0.0002248337518896384	0.00014154943756049742	0.00017977598353987066	9.295518116017984e-05	0.7597192972645506	-0.04711386328146069
BELGIUM	44353	0.1	1.21e-05	0.16691259902733166	0.1916908187169427	0.012438943195534976	0.02055578092027685	0.0002741334619952998	0.00017082088009731834	0.00013460632357063597	5.288829272906712e-05	0.6596943430344417	-0.06672659940501144
BELGIUM	44360	0.129	1.2e-05	0.20460402579974482	0.23465320437578197	0.012057351662784759	0.02038925547001999	0.00032246889697891027	0.0001985573442008094	9.295518116017984e-05	3.7690507462093126e-05	0.6711559405916956	-0.06447922733496166
BELGIUM	44367	0.143	1.12e-05	0.2286348466872246	0.26308149061347674	0.011535493578412414	0.020012111472172297	0.0003810192591733772	0.00023243766864639172	5.288829272906712e-05	4.355470339339037e-05	0.9292687165218452	-0.013868879113363698
BELGIUM	44374	0.141	1.29e-05	0.24688277277976287	0.28544128033724936	0.01097834083048049	0.019557166237085654	0.0005063507119190671	0.0003106105632199106	3.7690507462093126e-05	6.892118862081298e-05	1.2198666051195386	0.043111099043046795
BELGIUM	44381	0.129	1.73e-05	0.26380172663049495	0.30658171146682656	0.01039420256793525	0.01903240630919855	0.0007308277381130405	0.00045357473129537017	4.355470339339037e-05	0.00010380547876290478	1.3163825267924016	0.062035789567137574
BELGIUM	44388	0.118	3.98e-05	0.30766073165985025	0.35738254416269216	0.009816747108150437	0.018479894838179526	0.001197563999179355	0.0007568033579996914	6.892118862081298e-05	0.00012136736396029465	1.206134114652658	0.04041845385346238
GERMANY	44333	0.071	6.8e-06	0.08405521238805354	0.09759593669275618	0.007565815550766666	0.011515308026156683	5.112900303055367e-05	3.285692534235279e-05	0.00014484338915604584	6.94709193842652e-05	0.7323429493020657	-0.05248177464665378
GERMANY	44340	0.083	5.2e-06	0.10619456165314996	0.12273657386012396	0.00761878091066274	0.01181597851237303	6.606171579101941e-05	4.200856473748927e-05	0.00010367896844958382	4.2867118452427434e-05	0.678264962429604	-0.06308530148439138
GERMANY	44347	0.099	4.6e-06	0.13437422295187315	0.1546936447225435	0.0074706599598022855	0.011849191487603241	8.015291583505382e-05	5.032935093157295e-05	6.94709193842652e-05	2.91561448530402e-05	0.6837116435324191	-0.06201732479756489
GERMANY	44354	0.112	4e-06	0.1632572077822398	0.18769679749684895	0.007244589420556224	0.011771555919495984	9.786163188822735e-05	6.0834723325471446e-05	4.2867118452427434e-05	1.7262801097471625e-05	0.6686635272977088	-0.06496793582397865
GERMANY	44361	0.122	4.5e-06	0.2006510419082939	0.23030870641791215	0.006959304082214355	0.011603555707754605	0.00012168772290853451	7.517051676387521e-05	2.91561448530402e-05	9.077081683742303e-06	0.5749102820517732	-0.08335092508788762
GERMANY	44368	0.129	5.1e-06	0.23532704187820921	0.2703265562486577	0.00662077830550213	0.011349631081690247	0.00014227029278190173	8.688024087162756e-05	1.7262801097471625e-05	7.017668759996325e-06	0.6720980924555588	-0.06429449167538061
GERMANY	44375	0.134	8e-06	0.26442481089092235	0.30461338805787525	0.006267866079355954	0.011058144595164576	0.0001633258018370276	9.85569343460003e-05	9.077081683742303e-06	8.049503594051433e-06	0.9562338704942729	-0.008581594020730802
GERMANY	44382	0.133	1.28e-05	0.28632595694448826	0.3313528253207172	0.005914179073325375	0.010745246364276753	0.0001901468236775897	0.00011381484607927366	7.017668759996325e-06	1.2223667118286402e-05	1.2021577790284792	0.039638780201662574
SWEDEN	44345	0.127	1.4e-05	0.1061234586575622	0.12305846603882015	0.02158630067793025	0.03445747677914719	0.0001489394136592155	9.501665053661461e-05	0.00022037759729659986	0.00010533440330159013	0.7310834319527639	-0.05272873883279139
SWEDEN	44352	0.103	6e-06	0.13284239369232417	0.15340297741207662	0.02101774178424095	0.034328309122197115	0.00029697393202808374	0.00019358734975480224	0.00013864378078560065	4.621693701559578e-05	0.5998097092008594	-0.07846868447041973
SWEDEN	44359	0.082	3.5e-06	0.16291836183933633	0.18767638572222212	0.020186947819049086	0.033821646977341316	0.000419359754569877	0.00027136998495019187	0.00010533440330159013	3.8244620834323216e-05	0.6309286044725024	-0.07236694029950932
SWEDEN	44366	0.081	3.5e-06	0.19689629324423585	0.22651091893006917	0.019157471298491862	0.03300720364866132	0.0004481360373655365	0.0002829571360826005	4.621693701559578e-05	4.389695082527627e-05	0.98123874927119	-0.003678676613492154
SWEDEN	44373	0.1	4.4e-06	0.22217809210918008	0.25619058971455705	0.0182453950743135	0.03229262802098776	0.0006037240437627114	0.0003802443251152786	3.8244620834323216e-05	2.561827175004912e-05	0.854031777464432	-0.028621220105013334
SWEDEN	44380	0.125	8.9e-06	0.24346005742608845	0.28177137018282006	0.017244118591551356	0.031403676948698764	0.0007010115468743188	0.0004353153112530697	4.389695082527627e-05	2.395209984973136e-05	0.7793197709807858	-0.0432706331410224
SWEDEN	44387	0.142	1.78e-05	0.25583345088688886	0.2978656978986658	0.01623727239060597	0.03044557451612485	0.0008059341268238905	0.0004938049909537354	2.561827175004912e-05	2.9941882377460378e-05	1.0568112356336756	0.011139457967387375
