country	time	s_hat	s_var	C_alpha_vac	C_wt_vac	C_alpha_wt	C_wt_wt	C_alpha_alpha	C_wt_alpha	new_cases_1	new_cases_2	R_inst	Fabs
NY	44214	0.061	3.29e-05	0.00450920162992833	0.004722520021318517	0.02090973225732648	0.02090973225732648	0.00011645090231323445	0.0001015692718851853	0.0004780574281747201	0.0003382923784281147	0.851791290828559	-0.02470145152857351
NY	44221	0.066	2.29e-05	0.00866455143411551	0.009092299058704902	0.0222753837728469	0.0222753837728469	0.0001666788658641888	0.00014480400257715356	0.0004096988543346288	0.0002627277437859691	0.8095839627427662	-0.03173600620953896
NY	44228	0.07	1.97e-05	0.016103319059911296	0.016919642541062013	0.02311804424495623	0.02311804424495623	0.00024097703665292372	0.00020878737112307386	0.0003382923784281147	0.0002085373179507017	0.7926603407287787	-0.03455660987853689
NY	44235	0.06	1.21e-05	0.02586015901174422	0.027207668479982707	0.02337834545749082	0.02337834545749082	0.00032011898477021116	0.00027631764858689013	0.0002627277437859691	0.00017861342562107418	0.8346166582018318	-0.02756389029969469
NY	44242	0.052	7.9e-06	0.04087687680879944	0.04305504562315597	0.023413159146280237	0.023413159146280237	0.00042043012373479044	0.00036172354948936427	0.0002085373179507017	0.0001665632513259799	0.9036816215392015	-0.01605306307679975
NY	44249	0.052	4.9e-06	0.055917462053818034	0.05901111624811543	0.02321738008653526	0.02321738008653526	0.0005261677363374806	0.00045089924585738815	0.00017861342562107418	0.0001677477608297527	0.9731018244730618	-0.004483029254489698
NY	44256	0.055	4.2e-06	0.0679972829956634	0.07195372566487479	0.02294657299661369	0.02294657299661369	0.0006693913219207011	0.0005721066250814243	0.0001665632513259799	0.0001601881151012	0.9832744509461933	-0.0027875915089677896
NY	44263	0.062	3.4e-06	0.08037665114206843	0.08529067850745391	0.02258103023443951	0.02258103023443951	0.000838159110354536	0.0007144254034567187	0.0001677477608297527	0.00016515244746924892	0.9933175188128396	-0.0011137468645267315
NY	44270	0.072	3.4e-06	0.09615003550126984	0.10227115935708095	0.022120967793964	0.022120967793964	0.0010418005030182864	0.0008858271399092821	0.0001601881151012	0.00018253468245594994	1.055967722209444	0.00932795370157398
NY	44277	0.081	3.1e-06	0.11216344049427697	0.1196119560760631	0.021600894738291274	0.021600894738291274	0.0013329931400800328	0.0011325285888620336	0.00016515244746924892	0.00019293007929502629	1.0666252293217446	0.01110420488695744
NY	44284	0.101	8.7e-06	0.1391368428379073	0.14853346619324043	0.021019697908791463	0.021019697908791463	0.0017097667933762763	0.0014519712546906438	0.00018253468245594994	0.00018931997719546966	1.015642166612073	0.0026070277686788155
USA	44211	0.062	4.1e-06	0.0064887178649748025	0.006802019126550156	0.04288020405934395	0.04288020405934395	0.00016550162541360738	0.0001444466357087459	0.0007199126877453603	0.0005039097234063465	0.8471145117852544	-0.025480914702457596
USA	44218	0.066	2.7e-06	0.010925223591641437	0.011474958945963133	0.04442381455210027	0.04442381455210027	0.00024206895054387868	0.00021044854170384412	0.000616820973387345	0.00042300577834454074	0.8383458631962869	-0.026942356133952187
USA	44225	0.068	1.8e-06	0.019079482683283102	0.02006053364592091	0.0454016490521218	0.0454016490521218	0.0003474019982114013	0.0003010928558294332	0.0005039097234063465	0.00033758373550160745	0.8283213369689746	-0.028613110505170892
USA	44232	0.068	1.3e-06	0.030917285685180693	0.03254095371353906	0.04587308924288635	0.04587308924288635	0.00047966488225134753	0.0004144335614228222	0.00042300577834454074	0.0002525661287075602	0.7789802589812466	-0.03683662350312557
USA	44239	0.074	9e-07	0.04575333863764413	0.048221785320432614	0.04584395931980512	0.04584395931980512	0.0006227290026006543	0.0005359746242858479	0.00033758373550160745	0.00020950388086061835	0.7955408623666205	-0.034076522938896577
USA	44246	0.089	8e-07	0.059604130234531635	0.06295518267720937	0.045351583136454675	0.045351583136454675	0.0007667536555952519	0.0006568767360627143	0.0002525661287075602	0.00019780076747998826	0.8952516524130194	-0.01745805793116344
USA	44253	0.123	8e-07	0.07769549412464977	0.08220918671837991	0.044692420264804	0.044692420264804	0.0009685033180151348	0.0008273370625321287	0.00020950388086061835	0.00017597194858684595	0.925249572451885	-0.012458404591352492
CANADA	44221	0.084	2.18e-05	0.0015521004303114924	0.0016278616807226987	0.013317471472251053	0.013317471472251053	4.615044709992208e-05	4.0190018096716115e-05	0.00015169693474621795	9.991354135962215e-05	0.8210373766373671	-0.02982710389377214
CANADA	44228	0.09	1.32e-05	0.002820454008923238	0.002963386537284436	0.013666909838136232	0.013666909838136232	6.86407213301258e-05	5.9598252222372004e-05	0.00012257417046064118	8.27881325821938e-05	0.8318150306753069	-0.028030828220782178
CANADA	44235	0.096	1.08e-05	0.004535793821318297	0.004772738915521405	0.013853160705817366	0.013853160705817366	0.00010387522403206638	9.003550022286741e-05	9.991354135962215e-05	7.86751824298852e-05	0.8975810869052261	-0.017069818849128993
CANADA	44242	0.1	6.3e-06	0.0075151884416478415	0.007915290200679732	0.01392939582607772	0.01392939582607772	0.00015677126801730786	0.0001357130804555869	8.27881325821938e-05	7.972593611843151e-05	0.9838472413656378	-0.0026921264390603675
CANADA	44249	0.129	5e-06	0.01083287253491318	0.011426798254587034	0.013935821223658187	0.013935821223658187	0.00023565386150571025	0.00020382236517912746	7.86751824298852e-05	7.852507476009313e-05	0.9991815296083496	-0.0001364117319417276
DENMARK	44193	0.082	1.26e-05	0.0	0.0	0.019925986455575095	0.019925986455575095	0.0001397967357620836	0.00012232465560284048	0.0005250396909904712	0.0003305104642520105	0.8016419110222797	-0.033059681496286714
DENMARK	44200	0.085	7e-06	0.0	0.0	0.021779596873983665	0.021779596873983665	0.0002260485497078238	0.00019710956787906398	0.0004073785063487649	0.0002347817372737801	0.7638200974458065	-0.03936331709236558
DENMARK	44207	0.091	4.4e-06	0.0	0.0	0.02315441723693967	0.02315441723693967	0.00034984027398550564	0.00030419810733311596	0.0003305104642520105	0.0001544610225700595	0.6739871983158953	-0.054335466947350794
DENMARK	44214	0.115	3.2e-06	0.0003678868969421678	0.0003843987185267595	0.023703458421379327	0.023703458421379327	0.0004681617501205776	0.00040524867483898215	0.0002347817372737801	0.00011138248107529978	0.6804201780053305	-0.05326330366577826
SPAIN	44189	0.134	0.0001247	0.0	0.0	0.026052841571971803	0.026052841571971803	0.00014719105708082013	0.00012973891567432037	0.00020612501124141102	0.0002596950519701368	1.0990108129438863	0.01650180215731439
SPAIN	44196	0.077	2.33e-05	0.0	0.0	0.026397523887272553	0.026397523887272553	0.00036843643969300383	0.00032406998887303545	0.00021827140446842408	0.00043350812068060997	1.2940733996267644	0.049012233271127394
SPAIN	44203	0.043	1.07e-05	0.0	0.0	0.026671654451403876	0.026671654451403876	0.0007051068157236497	0.0006180481604529699	0.0002596950519701368	0.0006597635362964931	1.3995886115139056	0.06659810191898426
SPAIN	44210	0.021	7.2e-06	0.0	0.0	0.028516904582985326	0.028516904582985326	0.0017054487318339208	0.0014948615520490544	0.00043350812068060997	0.0007533758759953894	1.2368516052963896	0.03947526754939827
SPAIN	44217	0.022	5.5e-06	0.0009194465887714298	0.0009608592309081328	0.03091522066099128	0.03091522066099128	0.0028821134893713763	0.0025179422003192625	0.0006597635362964931	0.0006979324577227816	1.0241032172094349	0.004017202868239139
SPAIN	44224	0.06	6.3e-06	0.0049491814171942665	0.005180575055967159	0.03351781333207262	0.03351781333207262	0.0041648157834658145	0.0036229727217469724	0.0007533758759953894	0.0005141137804011015	0.8362344267323578	-0.027294262211273696
CA	44208	0.037	1.8e-05	0.0022999631983706436	0.0024028322500172427	0.036566906665020424	0.036566906665020424	0.00020221070244057573	0.00017654481062745936	0.0010118002954833275	0.000733283189932797	0.862019490177576	-0.022996751637070663
CA	44215	0.045	1.44e-05	0.006035329712053146	0.006324848515661686	0.03871471852224743	0.03871471852224743	0.00027067868196487156	0.0002350341259028439	0.0009839194991496855	0.0004946425061714514	0.7052676605699415	-0.04912205657167641
CA	44222	0.057	1.1e-05	0.008914003465955587	0.00936702794740852	0.03950750277371004	0.03950750277371004	0.00032636477318454004	0.0002815458993136598	0.000733283189932797	0.00036385225073396615	0.6996639612923164	-0.05005600645128059
CA	44229	0.063	8.9e-06	0.013593354106439467	0.01431108709576843	0.03971433069156652	0.03971433069156652	0.0003898872818397882	0.0003343699998152092	0.0004946425061714514	0.0002552448695387393	0.7164520279418014	-0.04725799534303309
CA	44236	0.066	7.9e-06	0.020062303500409513	0.021151110689131385	0.03948425452513654	0.03948425452513654	0.0004517706933919325	0.00038506439389060233	0.00036385225073396615	0.000172467827615101	0.6800554993598338	-0.0533240834400277
CA	44243	0.072	6.4e-06	0.033338918564530924	0.03515163804979653	0.03892116294241422	0.03892116294241422	0.0005088946598988473	0.0004308838684851012	0.0002552448695387393	0.00012565417664680615	0.6962757771440409	-0.05062070380932652
CA	44250	0.084	5.5e-06	0.04794119524503355	0.050613754087625175	0.03811952067722858	0.03811952067722858	0.000560636485622735	0.0004713457896326642	0.000172467827615101	0.00010335026220793103	0.7805341903058642	-0.03657763494902263
CA	44257	0.11	6e-06	0.06596997306017295	0.06973929798437022	0.03719181159219928	0.03719181159219928	0.0006209229611287243	0.0005187940407016025	0.00012565417664680615	8.751748186269682e-05	0.8449878838695497	-0.02583535268840837
